judul,berita,emiten
"IHSG Berpotensi Menguat, Berikut Rekomendasi Saham Hari Ini","simak rekomendasi saham teknikal dari tiga perusahaan sekuritas ini: 1. artha sekuritas pwon entry level 490 - 500, tp 520 - 530, stop loss 484 ssms entry level 1.140 – 1.160, tp 1.210 – 1.235, stop loss 1.125 wika entry level 1.000 – 1.020, tp 1.060 – 1.080, stop loss 9802. pilarmas investindo akra last price 1.070, support 1.030, resistance 1.110 excl last price 2.680, support 2.590, resistance 2.770, tp 4.000 - 5.180, exit 2.250 untr last price 29.200, support 28.950, resistance 29.600, tp 32.150 - 39.600, exit 18.550 - 28.5503. binaartha sekuritas bbri rekomendasi hold/ take profit sebagian di level 4.420 sebagai target harga terdekat.","['wika', 'excl', 'untr', 'bbri']"
"IHSG Berpotensi Menguat, Berikut Rekomendasi Saham Hari Ini","cpin rekomendasi hold/ trading buy 5.600 – 5.800, tp 6.125. excl rekomendasi hold / buy on weakness 2.470 – 2.550, tp 2.800.disclaimer: artikel ini bukan untuk mengajak membeli atau menjual saham.","['cpin', 'excl', 'buka']"
BRI Jalin Kerja Sama Implementasi Aplikasi PSIAP Bersama Dirjen Pajak Kemenkeu RI,"ihsg kembali sentuh 7.000, investor asing beli saham icbp hingga isat liputan6.com, jakarta - laju indeks harga saham gabungan (ihsg) berada di zona hijau pada perdagangan jumat pagi (24/6/2022).",['icbp']
BRI Jalin Kerja Sama Implementasi Aplikasi PSIAP Bersama Dirjen Pajak Kemenkeu RI,"pada pembukaan perdagangan, ihsg melonjak 24 poin ke posisi 7.022,53. indeks lq45 menguat 0,07 persen ke posisi 1.014. sebagian besar indeks acuan menghijau.",['buka']
BRI Jalin Kerja Sama Implementasi Aplikasi PSIAP Bersama Dirjen Pajak Kemenkeu RI,"saham-saham yang masuk top gainers antara lain: -saham mpow melonjak 13,46 persen -saham polu melonjak 11,11 persen -saham lion melonjak 10,58 persen -saham fish melonjak 9,63 persen -saham kjen melonjak 9,09 persen saham-saham yang masuk top losers antara lain: -saham asha melemah 7 persen -saham kblm melemah 6,90 persen -saham tnca melemah 6,80 persen -saham ptdu melemah 6,67 persen -saham ufoe melemah 6,83 persen saham-saham yang dibeli investor asing antara lain: -saham icbp senilai rp 16,2 miliar -saham tlkm senilai rp 14,9 miliar -saham fren senilai rp 13,4 miliar -saham smdr senilai rp 8,2 miliar -saham isat senilai rp 6 miliar saham-saham yang dijual investor asing antara lain: -saham bbri senilai rp 18,8 miliar -saham bbca senilai rp 15,3 miliar -saham asii senilai rp 12,2 miliar -saham bbni senilai rp 11,6 miliar -saham mdka senilai rp 11,2 miliar bursa saham asia kompak menguat.","['icbp', 'tlkm', 'bbri', 'bbca', 'asii', 'bbni', 'mdka']"
"Wismilak Inti Makmur Tebar Dividen Rp 21,6 per Saham, Catat Jadwalnya","untuk ekspansi usaha, klbf dapat pinjaman rp1 triliun dari bbni ipotnews - pt bank negara indonesia (persero) tbk ( bbni ) memberikan fasilitas pinjaman senilai rp1 triliun kepada pt kalbe farma tbk ( klbf ), yang akan digunakan perusahaan farmasi tersebut untuk ekspansi usaha termasuk penambahan belanja modal ataupun aksi korporasi lainnya.","['klbf', 'bbni', 'bbni', 'klbf']"
"Wismilak Inti Makmur Tebar Dividen Rp 21,6 per Saham, Catat Jadwalnya",pelaku industri perbankan terus membuka berbagai celah pertumbuhan kinerja fungsi intermediasi untuk menambah daya ungkit pemulihan ekonomi.,['buka']
"TOWR Melesat di Sesi Satu, Sukses Tembus Resistance 1.065","pada pembukaan perdagangan, ihsg naik 7 poin ke posisi 6.949,11. indeks lq45 menguat 0,49 persen ke posisi 1.000,13. sebagian besar indeks acuan menghijau.",['buka']
"TOWR Melesat di Sesi Satu, Sukses Tembus Resistance 1.065","saham bmri menguat seiring aksi beli investor asing pada juni 2022. sementara itu, volatilitas saham smgr tinggi karena pasokan batu bara dmo untuk pemain semen tetap tidak pasti.","['bmri', 'smgr']"
"TOWR Melesat di Sesi Satu, Sukses Tembus Resistance 1.065","saham-saham yang masuk top gainers antara lain: -saham kjen menguat 17,02 persen -saham puri menguat 13,27 persen -saham asha menguat 13,16 persen -saham atap menguat 10,28 persen -saham bolt menguat 9,88 persen saham-saham yang masuk top losers antara lain: -saham snlk melemah 6,94 persen -saham hits melemah 6,91 persen -saham bmsr melemah 6,83 persen -saham ufoe melemah 6,83 persen -saham bebs melemah 6,80 persen saham-saham paling aktif ditransaksikan secara nilai antara lain: -saham bbri senilai rp 237,9 miliar -saham bebs senilai rp 234,2 miliar -saham care senilai rp 228,2 miliar -saham goto senilai rp 167,5 miliar -saham bbca senilai rp 153,6 milliar saham-saham yang paling aktif ditransaksikan secara frekuensi: -saham asha 16.603 kali -saham jast 10.184 kali -saham winr 9.018 kali -saham bbri 8.229 kali -saham admr 7.907 kali bursa saham asia mayoritas melemah pada perdagangan kamis, 30 juni 2022. indeks hang seng naik 0,02 persen, indeks shanghai menguat 0,73 persen.","['bbri', 'bbca', 'bbri']"
BRI Danareksa Sekuritas gains IDR 65 billion investment,"bursa kamis (30/6) segera dibuka, simak proyeksi ihsg dari sejumlah analis berikut reporter: ika puspitasari | editor: herlina kartika dewi kontan.co.id - jakarta.",['buka']
BRI Danareksa Sekuritas gains IDR 65 billion investment,"menurut azis, beberapa saham yang bisa dicermati untuk perdagangan hari ini meliputi: 1. bfin entry buy: rp 1.120 – rp 1.135 target harga: rp 1.160 – rp 1.185 support: rp 1.110 – rp 1.120 cutloss: 1.105 2. jpfa entry buy: rp 1.515 – rp 1.555 target harga: rp 1.585 – rp 1.610 support: rp 1.505 – rp 1.515 cutloss: rp 1.500 3. mapi entry buy: rp 940 – rp 965 target harga: rp 985 – rp 1.015 support: rp 930 –rp 940 cutloss: rp 925 4. same entry buy: rp 412 – rp 420 target harga: rp 430 – rp 436 support: rp 410 – rp 412 cutloss: rp 408 cek berita dan artikel yang lain di google news","['bfin', 'jpfa']"
"Target Price BMRI, Yuanta Investement Consulting Sekuritas Rp 9.400 : Buy","""asia pasifik pagi ini dibuka melemah menanti data pmi china.",['buka']
"Target Price BMRI, Yuanta Investement Consulting Sekuritas Rp 9.400 : Buy","secara teknikal, ihsg kami prediksi bergerak melemah di level support 6,900 dan resistance di 6,980. namun peluang terjadinya window dressing dan rebalancing di tengah tahun tetap terbuka dan bisa menjadi kejutan untuk ihsg hari ini.""",['buka']
"Target Price BMRI, Yuanta Investement Consulting Sekuritas Rp 9.400 : Buy","emtk : alokasikan belanja modal sebesar rp720bn, +50% yoy hal ini guna menunjang pertumbuhan di lini bisnis layanan kesehatan dimana saat ini emtk memiliki enam rumah sakit yang dikelola anak usaha, dan pengembangan fasilitas produksi konten siaran tv dan digital.","['emtk', 'emtk']"
"Target Price BMRI, Yuanta Investement Consulting Sekuritas Rp 9.400 : Buy","antm : 5m22, catat volume produksi emas unaudited yang berasal dari tambang emas pongkor sebesar 576kg (+2.5% yoy) sementara tingkat produksi, penjualan emas unaudited antm mencapai 11,05tn.","['antm', 'antm']"
"Target Price BMRI, Yuanta Investement Consulting Sekuritas Rp 9.400 : Buy","fy22f, antm targetkan penjualan emas sebesar 28tn.",['antm']
"Target Price BMRI, Yuanta Investement Consulting Sekuritas Rp 9.400 : Buy","index rebalancing: sri-kehati, in: aali , cpin , jpfa .","['cpin', 'jpfa']"
